"index","DR_NO","Date Rptd","DATE OCC","TIME OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Weapon Desc","Status Desc","LOCATION"
"0","220314085","2022-07-22T00:00:00.000","2020-05-12T00:00:00.000","1110","Southwest","THEFT OF IDENTITY","27","F","B","null","Invest Cont","2500 S  SYCAMORE                     AV"
"1","222013040","2022-08-06T00:00:00.000","2020-06-04T00:00:00.000","1620","Olympic","THEFT OF IDENTITY","60","M","H","null","Invest Cont","3300    SAN MARINO                   ST"
"2","220614831","2022-08-18T00:00:00.000","2020-08-17T00:00:00.000","1200","Hollywood","THEFT OF IDENTITY","28","M","H","null","Invest Cont","1900    TRANSIENT"
"3","231207725","2023-02-27T00:00:00.000","2020-01-27T00:00:00.000","0635","77th Street","THEFT OF IDENTITY","37","M","H","null","Invest Cont","6200    4TH                          AV"
"4","220213256","2022-07-14T00:00:00.000","2020-07-14T00:00:00.000","0900","Rampart","THEFT OF IDENTITY","79","M","B","null","Invest Cont","1200 W  7TH                          ST"
"5","221216052","2022-07-07T00:00:00.000","2020-02-23T00:00:00.000","1000","77th Street","THEFT OF IDENTITY","28","F","B","null","Invest Cont","500 W  75TH                         ST"
"6","221515929","2022-10-10T00:00:00.000","2020-04-01T00:00:00.000","1200","N Hollywood","THEFT OF IDENTITY","33","M","W","null","Invest Cont","5700    CARTWRIGHT                   AV"
"7","231906599","2023-03-03T00:00:00.000","2020-01-14T00:00:00.000","1335","Mission","THEFT OF IDENTITY","35","M","O","null","Invest Cont","14500    WILLOWGREEN                  LN"
"8","231207476","2023-02-27T00:00:00.000","2020-08-15T00:00:00.000","0001","77th Street","BURGLARY","72","M","B","null","Invest Cont","8800    HAAS                         AV"
"9","231506571","2023-03-03T00:00:00.000","2020-07-15T00:00:00.000","1700","N Hollywood","OTHER MISCELLANEOUS CRIME","21","F","W","VERBAL THREAT","Invest Cont","12300    EMELITA                      ST"
"10","221711184","2022-06-15T00:00:00.000","2020-05-15T00:00:00.000","0155","Devonshire","THEFT OF IDENTITY","27","M","B","null","Invest Cont","8300    WHITE OAK                    AV"
"11","220119956","2022-09-06T00:00:00.000","2020-07-01T00:00:00.000","1130","Central","THEFT OF IDENTITY","22","F","B","null","Invest Cont","800 S  HOPE                         ST"
"12","221516944","2022-11-03T00:00:00.000","2020-06-01T00:00:00.000","1200","N Hollywood","THEFT OF IDENTITY","59","M","O","null","Invest Cont","6700    BAKMAN                       AV"
"13","220712955","2022-08-16T00:00:00.000","2020-11-08T00:00:00.000","1005","Wilshire","THEFT PLAIN - PETTY ($950 & UNDER)","59","F","O","null","Invest Cont","100 S  FLORES                       ST"
"14","221913440","2022-08-20T00:00:00.000","2020-04-17T00:00:00.000","0955","Mission","THEFT OF IDENTITY","78","F","W","null","Invest Cont","15200    COBALT                       ST"
"15","231207740","2023-02-17T00:00:00.000","2020-02-17T00:00:00.000","1240","77th Street","THEFT OF IDENTITY","52","M","O","null","Invest Cont","700 E  80TH                         ST"
"16","220316688","2022-09-12T00:00:00.000","2020-09-11T00:00:00.000","2100","Southwest","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","27","F","O","null","Invest Cont","1300 W  37TH                         DR"
"17","221312369","2022-06-03T00:00:00.000","2020-12-10T00:00:00.000","0700","Newton","THEFT OF IDENTITY","33","M","H","null","Invest Cont","2700 S  CENTRAL                      AV"
